url,is_spam
https://qsylvrvf.xyz/verify,False
https://gkkybcld.net/click?token=5194,True
https://kwrejalr.net/user/free,False
https://mrzwujfe.xyz/free/unsubscribe,False
https://pvemafdc.net/user/offer?promo=3111,True
https://tfxmskkp.xyz/free?token=9109,True
https://bfnvlwgw.com/unsubscribe/free,False
https://ubziywtk.com/free,False
https://daubxoud.com/verify?promo=2936,True
https://hmwezaxq.xyz/unsubscribe/free?id=8528,True
https://zgmehirm.com/free/free/free?token=6876,True
https://vdfwbcgm.xyz/unsubscribe/offer/offer?id=3704,True
https://zfnmljip.net/user,False
https://eojvsgsw.xyz/offer/click,False
https://eemwvcxb.com/user,False
https://stayhnoj.net/user,False
https://xwihrgqz.org/unsubscribe/free?id=9869,True
https://etlvjqfh.org/user/free,False
https://xzmdaoax.org/click/offer/free?promo=8783,True
https://nhmsrebo.xyz/unsubscribe/unsubscribe,False
https://tavyuvgn.net/offer/free,False
https://guahhnxf.com/click/offer,False
https://zcoozaqb.xyz/click/free?id=3969,True
https://leskvwbj.com/free,False
https://tdaocyzp.com/unsubscribe/unsubscribe,False
https://zoofjlhf.xyz/offer,False
https://utsidwnt.org/free/user?id=5120,True
https://uspzttdk.com/verify/unsubscribe/free?token=8329,True
https://mkzimuhy.xyz/offer/offer,False
https://iuhcxcro.net/user,False
https://ldeiilna.xyz/verify,False
https://ratubazj.com/free,False
https://txtarmtz.org/verify/offer?token=4737,True
https://rekwdvlm.com/verify?id=9050,True
https://rbgdtuif.net/verify,False
https://acthruva.org/unsubscribe?token=3705,True
https://eqjieufa.com/free?promo=5103,True
https://mdrpuwip.xyz/unsubscribe,False
https://fvzhphkz.org/offer?promo=8562,True
https://mtfilhej.org/user,False
https://gqjqmfhn.com/user?promo=9592,True
https://xlrfseip.com/free?promo=8623,True
https://iwpqrcyw.xyz/offer,False
https://jvpyvvya.net/click/free/click?token=7804,True
https://rwmrxwlb.net/verify?promo=3542,True
https://cijnraih.xyz/offer/free?token=3532,True
https://wfphckcv.xyz/unsubscribe/user/free?token=6073,True
https://eddcabom.net/offer/offer,False
https://lwxizosn.net/free/click,False
https://djsmqlsn.net/unsubscribe,False
https://yjrxrtvu.net/user/verify?token=6536,True
https://ogmhwpnc.xyz/user/free/free?id=1471,True
https://mafywdeo.org/user/offer?token=5824,True
https://ekasrywq.org/click,False
https://dclujojj.com/free?id=5518,True
https://jldjjiiv.org/user/offer?token=5766,True
https://bkefkyjy.org/free/verify/offer?promo=8457,True
https://kfepkfrb.com/user/verify/verify?token=9153,True
https://qabhozov.xyz/free/verify,False
https://imrrtovf.com/click/verify,False
https://azrfnjlm.xyz/click/user/user?token=2602,True
